type,repo,commit
url-list,php-composer-cnb-url-list,5773b69d56b192f484ee72d178dbfde026784dbe
repo,https://github.com/cloudfoundry/httpd-cnb,6515b421140832fd66d4decb428a0f9ba250142f
url-list,httpd-cnb-url-list,6515b421140832fd66d4decb428a0f9ba250142f
repo,https://github.com/cloudfoundry/php-web-cnb,055daa2d2bed910cc20c75b7b81b9e8458a156f4
url-list,php-web-cnb-url-list,055daa2d2bed910cc20c75b7b81b9e8458a156f4
repo,https://github.com/cloudfoundry/php-dist-cnb,5332444ea2eaea71233b42c61efe3ecd0e77ba4b
url-list,php-dist-cnb-url-list,5332444ea2eaea71233b42c61efe3ecd0e77ba4b
repo,https://github.com/cloudfoundry/php-composer-cnb,5773b69d56b192f484ee72d178dbfde026784dbe
url-list,php-composer-cnb-url-list,5773b69d56b192f484ee72d178dbfde026784dbe
repo,https://github.com/cloudfoundry/nginx-cnb,15b4729a0456d619f4991800173d2c274ac55c3e
url-list,nginx-cnb-url-list,15b4729a0456d619f4991800173d2c274ac55c3e
repo,https://github.com/cloudfoundry/php-web-cnb,055daa2d2bed910cc20c75b7b81b9e8458a156f4
url-list,php-web-cnb-url-list,055daa2d2bed910cc20c75b7b81b9e8458a156f4
repo,https://github.com/cloudfoundry/httpd-cnb,6515b421140832fd66d4decb428a0f9ba250142f
url-list,httpd-cnb-url-list,6515b421140832fd66d4decb428a0f9ba250142f
repo,https://github.com/cloudfoundry/nginx-cnb,15b4729a0456d619f4991800173d2c274ac55c3e
url-list,nginx-cnb-url-list,15b4729a0456d619f4991800173d2c274ac55c3e
repo,https://github.com/cloudfoundry/dotnet-core-conf-cnb,5fb09dfe779c49201a4652a02b7dc6230a1a49d8
url-list,dotnet-core-conf-cnb-url-list,5fb09dfe779c49201a4652a02b7dc6230a1a49d8
repo,https://github.com/cloudfoundry/dotnet-core-runtime-cnb,398525dc6a6a1d693e168d14113d807a56356ccc
url-list,dotnet-core-runtime-cnb-url-list,398525dc6a6a1d693e168d14113d807a56356ccc
repo,https://github.com/cloudfoundry/dotnet-core-aspnet-cnb,307904c81b327db0d013aa90a22b9050afb705bf
url-list,dotnet-core-aspnet-cnb-url-list,307904c81b327db0d013aa90a22b9050afb705bf
repo,https://github.com/cloudfoundry/dotnet-core-sdk-cnb,50f2cc8fcffedab3071ef650eb5c53907f1e0e29
url-list,dotnet-core-sdk-cnb-url-list,50f2cc8fcffedab3071ef650eb5c53907f1e0e29
